player_Id,player_name,country,players_birthdate,players_age,goals_score,Info source
1,Álex Baena,Spain,20/07/2001,24,1,https://fbref.com/en/comps/1/World-Cup-Stats
2,Mikel Merino,Spain,22/06/1996,30,2,https://fbref.com/en/comps/1/World-Cup-Stats
3,"	Lamine Yamal",Spain,13/07/2007,18,1,https://fbref.com/en/comps/1/World-Cup-Stats
4,"	Lionel Messi",Argentina,24/06/1987,39,8,https://fbref.com/en/comps/1/World-Cup-Stats
5,"	Désiré Doué",France,3/06/2005,21,1,https://fbref.com/en/comps/1/World-Cup-Stats
6,Ousmane Dembélé,France,15/05/1997,29,6,https://fbref.com/en/comps/1/World-Cup-Stats
7,Erling Haaland,Norway,21/07/2000,25,7,https://fbref.com/en/comps/1/World-Cup-Stats
8,Junya Itō,Japan,9/03/1993,33,1,https://fbref.com/en/comps/1/World-Cup-Stats
9,Ibrahim Mbaye,Senegal,24/01/2008,18,1,https://fbref.com/en/comps/1/World-Cup-Stats
10,"	Nestory Irankunda",Australia,9/02/2006,20,1,https://fbref.com/en/comps/1/World-Cup-Stats
11,Brian Cipenga,Congo,11/03/1998,28,1,https://fbref.com/en/comps/1/World-Cup-Stats
12,"	Folarin Balogun",USA,3/07/2001,24,3,https://fbref.com/en/comps/1/World-Cup-Stats
13,"	Cristiano Ronaldo",Portugal,5/02/1985,41,3,https://fbref.com/en/comps/1/World-Cup-Stats
14,"	Gonçalo Ramos",Portugal,20/06/2001,25,1,https://fbref.com/en/comps/1/World-Cup-Stats
15,Matheus Cunha,Brazil,27/05/1999,27,3,https://fbref.com/en/comps/1/World-Cup-Stats
16,"	Vinicius Júnior",Brazil,12/07/2000,25,4,https://fbref.com/en/comps/1/World-Cup-Stats
17,"	Neymar",Brazil,5/02/1992,34,1,https://fbref.com/en/comps/1/World-Cup-Stats
18,"	Kylian Mbappé",France,20/12/1998,27,10,https://fbref.com/en/comps/1/World-Cup-Stats
19,"	Gessime Yassine",Morroco ,22/11/2005,20,1,https://fbref.com/en/comps/1/World-Cup-Stats
20,Ismael Saibari,Morroco ,28/01/2001,25,3,https://fbref.com/en/comps/1/World-Cup-Stats
21,"Jude Bellingham	",England,29/06/2003,22,7,https://fbref.com/en/comps/1/World-Cup-Stats
22,Harry Kane,England,28/07/1993,32,6,https://fbref.com/en/comps/1/World-Cup-Stats
23,Kevin De Bruyne,Belgium ,28/06/1991,34,1,https://fbref.com/en/comps/1/World-Cup-Stats
24,"	Mateo Chávez",Mexico,12/05/2004,22,1,https://fbref.com/en/comps/1/World-Cup-Stats
25,"	Thapelo Maseko",South Africa,11/11/2003,22,1,https://fbref.com/en/comps/1/World-Cup-Stats
26,Kai Havertz,Germany,1/06/1999,27,3,https://fbref.com/en/comps/1/World-Cup-Stats
27,Julio Enciso, Paraguay,23/01/2004,22,1,https://fbref.com/en/comps/1/World-Cup-Stats
28,Matías Galarza, Paraguay,11/02/2002,24,1,https://fbref.com/en/comps/1/World-Cup-Stats
29,"	Mattias Svanberg",Sweden,5/01/1999,27,1,https://fbref.com/en/comps/1/World-Cup-Stats
