group,n,mean,median,standard_deviation,minimum,maximum,ci_95_lower,ci_95_upper
Midfielder,50,87.52,88.0,4.329490708607465,73.0,95.0,86.28957235471577,88.75042764528422
Defender,50,88.66,90.0,5.347553321904536,69.0,97.0,87.14024216131898,90.17975783868101
