rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
110,Konrad Laimer,AUT,MF,34.07,442,194,42644.73,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
111,Seol Youngwoo,KOR,DF,34.06,309,155,30578.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
112,Mehdi Taremi,IRN,FW,34.05,345,156,30405.34,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
113,Alex Baena,ESP,MF,34.04,626,264,55400.88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
114,Romano Schmid,AUT,MF,34.01,439,161,31408.46,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
115,Stepan Chaloupek,CZE,DF,34,141,46,10873.66,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
116,Deiver Machado,COL,DF,33.98,117,56,10069.09,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
117,Tahith Chong,CUW,MF,33.97,293,107,27318.08,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
118,Ruben Providence,HAI,FW,33.97,312,115,24005.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
119,Antonee Robinson,USA,DF,33.97,556,206,43815.48,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
120,Eldor Shomurodov,UZB,FW,33.96,274,149,30198.42,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
121,Amar Memic,BIH,MF,33.94,306,152,27462.49,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
122,Andy Robertson,SCO,DF,33.94,246,107,25387.97,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
123,Juan Jose Caceres,PAR,DF,33.94,521,193,48658.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
124,Endrick,BRA,FW,33.93,103,57,13958.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
125,Johan Manzambi,SUI,MF,33.9,345,113,24380.51,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
126,Nico Williams,ESP,FW,33.89,185,116,16643.75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
127,Julio Enciso,PAR,FW,33.89,538,237,46088.56,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
128,Abbosbek Fayzullaev,UZB,MF,33.87,341,141,25301.81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Noussair Mazraoui,MAR,DF,33.87,396,146,48034.34,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
130,John Yeboah,ECU,FW,33.86,395,169,31500.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
131,Alidu Seidu,GHA,DF,33.83,73,34,8378.97,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
132,Che Adams,SCO,FW,33.82,192,75,17234.99,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
133,Nathaniel Brown,GER,DF,33.82,354,129,34794.69,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
134,Merih Demiral,TUR,DF,33.81,153,57,21211.19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
135,Liam Millar,CAN,MF,33.8,243,114,19176.61,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
136,Guela Doue,CIV,DF,33.8,353,132,31331.08,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
137,Mohamed Amine Ben Hmida,TUN,DF,33.8,167,70,22028.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
138,Ime Okon,RSA,DF,33.8,460,183,39562.72,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
139,Marquinhos,BRA,DF,33.79,453,141,49331.59,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
140,Johan Mojica,COL,DF,33.79,474,198,43296.39,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
141,Findlay Curtis,SCO,FW,33.79,35,16,2919.32,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
142,Jose Cordoba,PAN,DF,33.79,315,114,30753.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
143,Jesus Gallardo,MEX,DF,33.78,395,136,43286.39,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
144,Nilson Angulo,ECU,FW,33.78,274,136,25147.24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
145,Moteb Alharbi,KSA,DF,33.78,235,107,22511.24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
146,Nicolas Pepe,CIV,FW,33.77,289,154,25237.91,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
147,Ryan Mendes,CPV,FW,33.77,468,170,37830.2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
148,Mbekezeli Mbokazi,RSA,DF,33.76,336,138,35585.09,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
149,Davinson Sanchez,COL,DF,33.76,441,145,48497.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
150,Tim Payne,NZL,DF,33.74,309,105,25040.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
151,Maxence Lacroix,FRA,DF,33.73,280,93,26505.73,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
152,Prince Adu,GHA,FW,33.72,70,31,6266.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
153,Derrick Etienne,HAI,FW,33.69,26,8,1841.93,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
154,Christian Pulisic,USA,FW,33.69,380,137,29436.84,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
155,Wilson Isidor,HAI,FW,33.69,287,110,22699.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
156,David Raum,GER,DF,33.68,198,85,13697.63,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
157,Alexander Sorloth,NOR,FW,33.68,483,187,38789.92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
158,Aaron Wan Bissaka,COD,DF,33.68,460,194,40401.23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
159,Josip Stanisic,CRO,DF,33.68,418,196,42580.9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
160,Leon Goretzka,GER,MF,33.68,140,49,12494.96,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
161,Dodi Lukebakio,BEL,FW,33.68,232,101,20237.33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
162,Ismael Saibari,MAR,MF,33.67,615,315,45216.86,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
163,Nahuel Molina,ARG,DF,33.66,608,265,57871.18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
164,Gabriel Gudmundsson,SWE,DF,33.66,340,137,36816.96,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
165,Akam Hashim,IRQ,DF,33.65,270,79,28097.87,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
166,Piero Hincapie,ECU,DF,33.65,420,192,39830.97,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
167,Luca Jaquez,SUI,DF,33.64,96,39,9611.83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
168,Isidro Pitta,PAR,FW,33.64,77,23,6037.06,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
169,Morgan Rogers,ENG,MF,33.63,608,227,47046.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
170,Dan Ndoye,SUI,FW,33.63,509,248,44247.46,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
171,Marcel Sabitzer,AUT,MF,33.62,488,233,41363.96,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
172,Brian Brobbey,NED,FW,33.6,226,77,22528.72,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
173,Mohamed Salah,EGY,FW,33.6,493,201,49162.03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
174,Yuito Suzuki,JPN,MF,33.59,32,14,2226.64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
175,Martin Baturina,CRO,MF,33.59,489,175,37805.67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
176,Reece James,ENG,DF,33.59,333,131,36392.78,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
177,Ferran Torres,ESP,FW,33.56,345,197,35975.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
178,Jack Hendry,SCO,DF,33.55,349,123,30532.32,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
179,Sidny Lopes Cabral,CPV,DF,33.53,257,117,30954.32,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
180,Ali Alhamadi,IRQ,FW,33.53,258,112,22671.28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
181,Inaki Williams,GHA,FW,33.53,117,64,12856.69,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
182,Charles De Ketelaere,BEL,FW,33.53,426,217,40926.71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
183,Ivan Perisic,CRO,FW,33.52,452,183,41581.7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
184,Jean Kevin Duverne,HAI,DF,33.52,209,82,19174.4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
185,Nico Gonzalez,ARG,MF,33.52,322,153,32891.62,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
186,Nicolas Jackson,SEN,FW,33.52,304,154,28133.46,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
187,Malo Gusto,FRA,DF,33.5,166,78,15037.97,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
188,Desire Doue,FRA,FW,33.5,587,269,49084.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
189,Manuel Akanji,SUI,DF,33.47,631,187,62661.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
190,Isak Hien,SWE,DF,33.47,173,69,22458.49,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
191,Rayan Ait Nouri,ALG,DF,33.47,355,157,32073.2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
192,Emam Ashour,EGY,MF,33.46,522,185,42840.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
193,Pedro Miguel,QAT,DF,33.45,229,76,26501.54,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
194,Yasser Ibrahim,EGY,DF,33.44,514,181,51489.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
195,Ali Olwan,JOR,FW,33.43,411,138,33572.53,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
196,Yoane Wissa,COD,FW,33.41,384,140,41481.27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
197,Gilson Benchimol,CPV,FW,33.41,123,54,9993.83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
198,Sergino Dest,USA,DF,33.41,464,210,36917.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
199,Agustin Canobbio,URU,MF,33.4,348,162,28186.33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
200,Alessandro Circati,AUS,DF,33.38,424,142,44568.44,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
201,Kieran Tierney,SCO,DF,33.38,119,65,12307,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
202,Francisco Conceicao,POR,FW,33.36,201,87,17531.95,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
203,Kevin Rodriguez,ECU,FW,33.36,187,89,15137.76,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
204,Nathan Ake,NED,DF,33.36,136,49,18580.35,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
205,David Moller Wolfe,NOR,DF,33.35,520,216,48590.19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
206,Raphinha,BRA,FW,33.34,189,108,15809.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
207,Sherel Floranus,CUW,DF,33.34,320,116,29893.73,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
208,Habib Diarra,SEN,MF,33.34,221,92,18234.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
209,Marco Pasalic,CRO,FW,33.34,142,82,12958.46,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
210,Marc Cucurella,ESP,DF,33.33,907,363,87986.05,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
211,Danley Jean Jacques,HAI,MF,33.32,470,138,33149.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
212,Amad Diallo,CIV,FW,33.32,270,104,21888.37,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
213,Salem Aldawsari,KSA,FW,33.32,400,160,29452.07,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
214,Thiago Almada,ARG,FW,33.31,362,137,31810.05,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
215,Raul Jimenez,MEX,FW,33.31,295,141,32083.35,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
216,Denis Zakaria,SUI,MF,33.31,393,168,39537.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
217,Ayase Ueda,JPN,FW,33.3,385,141,36607.93,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
218,Lukas Provod,CZE,MF,33.3,228,88,16011.22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
219,Arthur Masuaku,COD,DF,33.3,343,114,32800.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
220,Junya Ito,JPN,MF,33.3,233,108,24421.93,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
221,Ernest Nuamah,GHA,FW,33.29,148,60,12051.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
222,Guillermo Varela,URU,DF,33.29,352,149,32750.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
223,Waldemar Anton,GER,DF,33.27,98,35,7334.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
224,Azzedine Ounahi,MAR,MF,33.27,654,266,53453.19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
225,Ramy Bensebaini,ALG,DF,33.26,301,122,35700.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
226,Miguel Almiron,PAR,MF,33.26,357,129,33177.48,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
227,Brian Cipenga,COD,FW,33.25,210,112,17763.24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
228,Kamaldeen Sulemana,GHA,FW,33.24,172,75,14795.98,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
229,Ricardo Pepi,USA,FW,33.24,366,148,27870.91,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
230,Angelo Preciado,ECU,DF,33.24,144,61,14040.86,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
231,Cedric Bakambu,COD,FW,33.23,256,117,21517.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
232,Gideon Mensah,GHA,DF,33.23,365,158,39697.98,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
233,Finn Surman,NZL,DF,33.22,310,103,30931.08,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
234,Andres Andrade,PAN,DF,33.21,322,117,30384.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
235,Roberto Alvarado,MEX,FW,33.21,567,185,50296.79,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
236,Jose Fajardo,PAN,FW,33.21,236,110,19207.38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
237,Akram Afif,QAT,FW,33.21,194,104,23536.07,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
238,Rayan,BRA,FW,33.21,395,135,33427.25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
239,Igor Thiago,BRA,FW,33.2,95,43,7498.81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
240,Gonzalo Montiel,ARG,DF,33.19,330,106,26323.98,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Elye Wahi,CIV,FW,33.18,154,63,13009.5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
242,Armando Obispo,CUW,DF,33.18,189,65,26713.78,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
243,Charles Pickel,COD,MF,33.17,77,35,5540.28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
244,Brandon Thomas Asante,GHA,FW,33.17,102,49,7440.82,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
245,Leandro Trossard,BEL,FW,33.17,802,276,63148.76,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
246,Pedro Porro,ESP,DF,33.17,631,283,62981.89,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
247,Cody Gakpo,NED,FW,33.16,418,177,39227,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
248,Henrik Falchener,NOR,DF,33.16,64,23,6891.96,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
249,Jorrel Hato,NED,DF,33.15,45,17,4437.91,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
250,Keito Nakamura,JPN,MF,33.15,497,180,36946.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
251,Antonio Ruediger,GER,DF,33.14,258,72,28802.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
252,Samir El Mourabet,MAR,MF,33.13,216,85,14604.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
253,Enner Valencia,ECU,FW,33.11,233,108,29489.89,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
254,Sander Berge,NOR,MF,33.1,770,192,63083.25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
255,Yan Valery,TUN,DF,33.09,296,130,29256.28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
256,Torbjorn Heggem,NOR,DF,33.07,475,141,51748.22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
257,Sontje Hansen,CUW,FW,33.07,59,26,4910.75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
258,Brahim Diaz,MAR,FW,33.07,524,225,49004.01,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
259,Declan Rice,ENG,MF,33.06,709,233,66754.62,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
260,Sultan Mandash,KSA,FW,33.05,107,50,8464.47,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
261,Thomas Meunier,BEL,DF,33.04,363,157,27147.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
262,Rafik Belghali,ALG,DF,33.04,480,170,38083.65,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
263,Marawan Attia,EGY,MF,33.03,829,260,56580.27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
264,Florian Wirtz,GER,MF,33.03,653,229,46415.88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
265,Aymeric Laporte,ESP,DF,33.02,695,204,79572.1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
266,Mark Mckenzie,USA,DF,33.02,148,50,11338,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
267,Abdoulaye Seck,SEN,DF,33.02,51,16,6142.53,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
268,Julian Quinones,MEX,FW,33.01,581,251,47274.89,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
269,Tshepang Moremi,RSA,FW,33.01,67,41,5585.39,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
270,Bukayo Saka,ENG,FW,33.01,518,213,42010.73,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
271,Pavel Sulc,CZE,FW,33,338,102,22856.82,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
272,Erik Lira,MEX,MF,33,497,137,43502.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
273,Ermedin Demirovic,BIH,FW,32.99,375,176,40423.23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
274,Sebastian Caceres,URU,DF,32.97,303,98,30359.66,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
275,Warren Zaire Emery,FRA,MF,32.97,182,63,14041.34,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
276,Tsuyoshi Watanabe,JPN,DF,32.93,100,28,9543.84,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
277,Kai Havertz,GER,FW,32.93,577,202,44897.03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
