rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
337,Shuto Machino,JPN,FW,32.63,27,8,2487.67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
338,Yukinari Sugawara,JPN,DF,32.63,195,72,18767.61,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
339,Lamine Camara,SEN,MF,32.63,453,176,31487.71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
340,Timothy Castagne,BEL,DF,32.62,844,335,65175.17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
341,Eray Coemert,SUI,DF,32.62,32,11,3959.81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
342,Iliman Ndiaye,SEN,FW,32.61,188,74,14673.13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
343,Alexander Isak,SWE,FW,32.61,346,155,35655.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
344,Nikola Vlasic,CRO,MF,32.61,263,96,22011.41,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
345,Nawaf Bu Washl,KSA,DF,32.59,105,56,10603.72,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
346,Lucas Bergvall,SWE,MF,32.58,283,89,23862.93,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Marcos Llorente,ESP,DF,32.58,218,94,22236.39,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
348,Rodrigo Bentancur,URU,MF,32.57,352,145,33644.76,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
349,Juan Manuel Sanabria,URU,MF,32.57,320,129,25094.45,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
350,Enzo Fernandez,ARG,MF,32.56,1054,332,82828.98,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
