rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1261,Weston Mckennie,USA,MF,0,0,504,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1260,Torbjorn Heggem,NOR,DF,0,0,503,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1259,Bilal El Khannouss,MAR,MF,0,0,501,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1258,Raul Rangel,MEX,GK,0,0,494,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1257,Maxim De Cuyper,BEL,DF,0,0,492,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1256,Juan Jose Caceres,PAR,DF,0,0,488,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1255,Djed Spence,ENG,DF,0,0,476,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1254,Richie Laryea,CAN,DF,0,0,475,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1253,Danilo,BRA,DF,0,0,471,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1251,Jefferson Lerma,COL,MF,0,0,459,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1252,Krepin Diatta,SEN,DF,0,0,459,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1250,Junior Alonso,PAR,DF,0,0,456,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1247,Vozinha,CPV,GK,0,0,445,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1247,Pico Lopes,CPV,DF,0,0,445,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1247,Diney Borges,CPV,DF,0,0,445,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1245,Johan Mojica,COL,DF,0,0,442,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1246,Manuel Neuer,GER,GK,0,0,442,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1243,Alessandro Circati,AUS,DF,0,0,438,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1243,Harry Souttar,AUS,DF,0,0,438,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1242,Patrick Beach,AUS,GK,0,0,435,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1241,Bart Verbruggen,NED,GK,0,0,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1239,Ramy Rabia,EGY,DF,0,0,431,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1240,Jesus Gallardo,MEX,DF,0,0,431,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1238,Manu Kone,FRA,MF,0,0,426,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1237,Ayyoub Bouaddi,MAR,MF,0,0,425,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1236,Luc De Fougerolles,CAN,DF,0,0,421,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1232,Jonathan Tah,GER,DF,0,0,419,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1233,Matt Freese,USA,GK,0,0,419,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1233,Chris Richards,USA,DF,0,0,419,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1235,Tim Ream,USA,DF,0,0,419,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1231,Ruben Dias,POR,DF,0,0,418,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
