rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
182,Martin Odegaard,NOR,MF,0,4,537,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
183,Florian Wirtz,GER,MF,0,3,405,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
184,Roberto Alvarado,MEX,FW,0,3,476,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
185,Houssem Aouar,ALG,MF,0,2,191,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
186,Hannibal Mejbri,TUN,MF,0,2,298,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
187,Chris Wood,NZL,FW,0,2,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
188,Ryan Gravenberch,NED,MF,0,2,374,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
189,Joshua Kimmich,GER,DF,0,2,392,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
190,Nicolas Raskin,BEL,MF,0,2,396,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
191,Denzel Dumfries,NED,DF,0,2,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
192,Patrick Berg,NOR,MF,0,2,519,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
193,Dani Olmo,ESP,FW,0,2,535,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
194,Marc Cucurella,ESP,DF,0,2,857,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
195,Jose Manuel Lopez,ARG,FW,0,1,28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
196,Dennis Hadzikadunic,BIH,DF,0,1,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
197,Tshepang Moremi,RSA,FW,0,1,44,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
198,Yannick Semedo,CPV,MF,0,1,46,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
199,Nadiem Amiri,GER,MF,0,1,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
200,Koki Ogawa,JPN,FW,0,1,56,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
201,Meschack Elia,COD,FW,0,1,59,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
202,Cucho Hernandez,COL,FW,0,1,66,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
203,Abdoulaye Seck,SEN,DF,0,1,66,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
204,Memphis Depay,NED,FW,0,1,68,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
205,Brandon Thomas Asante,GHA,FW,0,1,70,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
206,Takefusa Kubo,JPN,MF,0,1,77,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
207,Ernest Nuamah,GHA,FW,0,1,109,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
208,Kou Itakura,JPN,DF,0,1,138,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
209,Haissem Hassan,EGY,FW,0,1,138,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
210,Kevin Rodriguez,ECU,FW,0,1,146,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
211,Juan Quintero,COL,MF,0,1,146,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
212,Alexandr Sojka,CZE,MF,0,1,155,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
213,Nico Williams,ESP,FW,0,1,159,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
214,Orkun Kokcu,TUR,MF,0,1,172,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
215,Jean Kevin Duverne,HAI,DF,0,1,186,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
216,Wilfried Singo,CIV,DF,0,1,190,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
217,Karim Hafez,EGY,DF,0,1,198,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
218,Ivan Basic,BIH,MF,0,1,200,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
219,Michael Gregoritsch,AUT,FW,0,1,207,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
220,Lucas Bergvall,SWE,MF,0,1,207,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
221,Tijjani Reijnders,NED,MF,0,1,211,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
222,Paul Okon Engstler,AUS,MF,0,1,214,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
223,Marcos Llorente,ESP,DF,0,1,217,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
224,Chemsdine Talbi,MAR,MF,0,1,217,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
225,Thomas Meunier,BEL,DF,0,1,226,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
226,Edmilson Junior,QAT,FW,0,1,228,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
227,Gonzalo Montiel,ARG,DF,0,1,241,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
228,Tim Payne,NZL,DF,0,1,241,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
229,Akmal Mozgovoy,UZB,MF,0,1,243,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
230,Eberechi Eze,ENG,MF,0,1,247,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
231,Christian Pulisic,USA,FW,0,1,253,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
232,Lucas Paqueta,BRA,MF,0,1,255,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
233,Xaver Schlager,AUT,MF,0,1,265,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
234,Nicolas Jackson,SEN,FW,0,1,271,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
235,Amir Alammari,IRQ,MF,0,1,279,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
236,Lamine Camara,SEN,MF,0,1,287,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
237,Ehsan Haddad,JOR,DF,0,1,287,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
238,Mateo Kovacic,CRO,MF,0,1,293,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
239,Ritsu Doan,JPN,MF,0,1,295,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
240,Lee Kangin,KOR,MF,0,1,300,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
241,Vladimir Coufal,CZE,DF,0,1,301,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
242,David Alaba,AUT,DF,0,1,302,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
243,Ibrahim Sangare,CIV,MF,0,1,305,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
244,Noor Alrawabdeh,JOR,MF,0,1,309,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
245,Nico Gonzalez,ARG,MF,0,1,324,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
246,Rayan,BRA,FW,0,1,327,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
247,Arthur Masuaku,COD,DF,0,1,340,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
248,Joao Cancelo,POR,DF,0,1,342,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
249,Facundo Medina,ARG,DF,0,1,350,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
250,Luka Modric,CRO,MF,0,1,360,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
251,Yan Diomande,CIV,FW,0,1,361,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
252,Luis Suarez,COL,FW,0,1,365,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
253,Ryan Mendes,CPV,FW,0,1,366,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
254,Sead Kolasinac,BIH,DF,0,1,373,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
255,Pedro Neto,POR,FW,0,1,381,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
256,Jorge Sanchez,MEX,DF,0,1,388,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
257,Chadi Riad,MAR,DF,0,1,390,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
258,Erik Lira,MEX,MF,0,1,391,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
259,Aurelien Tchouameni,FRA,MF,0,1,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
260,Pedro Vite,ECU,MF,0,1,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
261,Chancel Mbemba,COD,DF,0,1,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
262,Morgan Rogers,ENG,MF,0,1,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
263,Konrad Laimer,AUT,MF,0,1,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
264,Josip Stanisic,CRO,DF,0,1,413,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
265,Sadio Mane,SEN,FW,0,1,421,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
266,Moussa Niakhate,SEN,DF,0,1,459,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
267,Bruno Fernandes,POR,MF,0,1,471,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
268,David Moller Wolfe,NOR,DF,0,1,477,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
269,Marawan Attia,EGY,MF,0,1,495,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
270,Gustavo Puerta,COL,DF,0,1,520,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
271,Gabriel Magalhaes,BRA,DF,0,1,520,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
272,Rodrigo De Paul,ARG,MF,0,1,539,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
273,Timothy Castagne,BEL,DF,0,1,546,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
274,Mohamed Hany,EGY,DF,0,1,546,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
275,Ricardo Rodriguez,SUI,DF,0,1,567,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
276,Adrien Rabiot,FRA,MF,0,1,657,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
277,Elliot Anderson,ENG,MF,0,1,713,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
278,Dayot Upamecano,FRA,DF,0,1,740,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
279,Aymeric Laporte,ESP,DF,0,1,824,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
512,Baba Rahman,GHA,DF,0,0,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
513,Borja Iglesias,ESP,FW,0,0,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
514,Marcus Thuram,FRA,FW,0,0,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
515,Mathew Ryan,AUS,GK,0,0,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
516,Max Arfsten,USA,DF,0,0,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
517,Yerry Mina,COL,DF,0,0,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
518,Fares Ghedjemis,ALG,FW,0,0,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
519,Sherzod Esanov,UZB,MF,0,0,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
520,Marc Pubill,ESP,DF,0,0,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
522,Matheus Nunes,POR,MF,0,0,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
523,Haji Wright,USA,FW,0,0,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
524,Gustaf Nilsson,SWE,FW,0,0,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
525,Trevoh Chalobah,ENG,DF,0,0,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
526,Brandley Kuwas,CUW,FW,0,0,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
527,Shurandy Sambo,CUW,DF,0,0,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
528,Ibrahim Adel,EGY,FW,0,0,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
529,Irfan Can Kahveci,TUR,FW,0,0,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
530,Ross Stewart,SCO,FW,0,0,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
531,Andres Gomez,COL,FW,0,0,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
532,Rodrigo Aguirre,URU,FW,0,0,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
533,Khalid Alghannam,KSA,FW,0,0,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
534,Alberto Quintero,PAN,MF,0,0,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
535,Maghnes Akliouche,FRA,MF,0,0,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
536,Carl Starfelt,SWE,DF,0,0,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
537,Gedeon Kalulu,COD,DF,0,0,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
539,Marten De Roon,NED,MF,0,0,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
540,Anibal Godoy,PAN,MF,0,0,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
542,Keisuke Goto,JPN,FW,0,0,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
543,Mohammad Abuzraiq,JOR,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
544,Godfried Roemeratoe,CUW,MF,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
545,Jordan Henderson,ENG,MF,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
546,Christian Fassnacht,SUI,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
548,Jens Petter Hauge,NOR,MF,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
549,Amir Hadziahmetovic,BIH,MF,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
550,Mojmir Chytil,CZE,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
551,Jayden Nelson,CAN,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
552,Cesar Huerta,MEX,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
554,Kento Shiogai,JPN,FW,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
555,Felix Torres,ECU,DF,0,0,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
556,Lucas Mendes,QAT,DF,0,0,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
557,Mohammad Abuhasheesh,JOR,DF,0,0,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
558,Kamogelo Sebelebele,RSA,FW,0,0,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
559,Yassin Fortune,HAI,FW,0,0,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
561,Derrick Etienne,HAI,FW,0,0,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
562,Eric Davis,PAN,DF,0,0,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
563,Alex Sandro,BRA,DF,0,0,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
564,Caglar Soyuncu,TUR,DF,0,0,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
565,Mohammad Aldaoud,JOR,MF,0,0,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
566,Mohamed Abdelmoneim,EGY,DF,0,0,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
567,Assane Diao,SEN,FW,0,0,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
568,Bamba Dieng,SEN,FW,0,0,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
569,Jamshid Iskanderov,UZB,MF,0,0,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
570,Noa Lang,NED,FW,0,0,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
571,Yuito Suzuki,JPN,MF,0,0,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
572,Jonathan Osorio,CAN,MF,0,0,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
573,Callan Elliot,NZL,DF,0,0,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
574,Alejandro Romero Gamarra,PAR,FW,0,0,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
575,Guillermo Ochoa,MEX,GK,0,0,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
576,Alexis Vega,MEX,FW,0,0,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
577,Themba Zwane,RSA,MF,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
578,Jean Michael Seri,CIV,MF,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
579,David Zima,CZE,DF,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
580,Amer Jamous,JOR,MF,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
581,Ramon Sosa,PAR,MF,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
582,Tyrese Noslin,CUW,FW,0,0,19,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
583,Mohanad Ali,IRQ,FW,0,0,20,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
584,Roshon Van Eijma,CUW,DF,0,0,20,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
585,Kenji Gorre,CUW,FW,0,0,20,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
586,Kendry Paez,ECU,MF,0,0,20,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
587,Findlay Curtis,SCO,FW,0,0,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
588,Armando Gonzalez,MEX,FW,0,0,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
589,Alphonso Davies,CAN,DF,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
590,Saed Alrosan,JOR,DF,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
592,Alex Zendejas,USA,FW,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
593,Zakaria El Ouahdi,MAR,DF,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
594,Simon Adingra,CIV,FW,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
595,Ken Sema,SWE,MF,0,0,22,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
596,Shuto Machino,JPN,FW,0,0,23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
597,Luka Sucic,CRO,MF,0,0,23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
598,Anthony Ralston,SCO,DF,0,0,23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
599,Azizbek Amonov,UZB,FW,0,0,23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
600,Pascal Gross,GER,MF,0,0,24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
601,Valentin Barco,ARG,MF,0,0,24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
602,Aimar Sher,IRQ,MF,0,0,24,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
