rank,player,team,position,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,source_url,retrieved_date
396,Thalente Mbatha,RSA,MF,97,82,85,4,0,0,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Abdallah Nasib,JOR,DF,97,70,72,0,0,0,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Omar Alderete,PAR,DF,97,70,72,0,0,1,3,33,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Eberechi Eze,ENG,MF,97,89,92,3,33,5,7,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Djibril Sow,SUI,MF,97,83,86,4,25,0,7,57,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Matej Kovar,CZE,GK,97,62,64,0,0,0,3,33,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
396,Armando Obispo,CUW,DF,97,87,90,0,0,1,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
403,Scott Mctominay,SCO,MF,96,87,91,0,0,4,1,100,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
404,Matt Freese,USA,GK,95,63,66,0,0,0,2,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
404,Mory Diaw,SEN,GK,95,64,67,0,0,0,2,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
404,Ismael Saibari,MAR,MF,95,80,84,7,29,4,8,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
404,Tajon Buchanan,CAN,FW,95,76,80,17,18,6,9,56,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
408,Exequiel Palacios,ARG,MF,94,89,95,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
408,Giovanni Reyna,USA,MF,94,79,84,1,0,1,9,78,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
408,Noni Madueke,ENG,FW,94,82,87,22,41,10,14,79,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Martin Baturina,CRO,MF,93,80,86,10,20,8,8,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Nathan Saliba,CAN,MF,93,79,85,4,25,1,4,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Kwasi Sibo,GHA,MF,93,88,95,0,0,1,1,100,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Omar Rekik,TUN,DF,93,77,83,2,0,0,4,25,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Callum Mccowatt,NZL,MF,93,78,84,2,0,1,3,33,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Akram Afif,QAT,FW,93,73,78,12,33,2,12,42,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Mohammed Alowais,KSA,GK,93,53,57,0,0,0,4,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Mahmoud Abunada,QAT,GK,93,50,54,0,0,0,8,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
411,Alireza Beiranvand,IRN,GK,93,62,67,0,0,2,2,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
420,Dan Ndoye,SUI,FW,92,73,79,13,15,8,10,50,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
420,Wilfried Singo,CIV,DF,92,79,86,1,0,3,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
422,Marvin Senaya,GHA,DF,91,75,82,8,25,1,4,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
422,Romano Schmid,AUT,MF,91,65,71,4,50,1,5,40,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
422,Charles De Ketelaere,BEL,FW,91,72,79,5,0,3,13,46,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
422,Nelson Semedo,POR,DF,91,84,92,5,0,3,3,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
422,Gustavo Gomez,PAR,DF,91,80,88,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
427,Matheus Cunha,BRA,FW,90,78,87,5,0,3,11,36,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
427,Issa Laye,QAT,DF,90,85,94,0,0,1,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
427,Jeremy Doku,BEL,FW,90,74,82,11,36,21,16,81,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
427,Kerim Alajbegovic,BIH,FW,90,69,77,16,6,12,13,77,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
431,Eloy Room,CUW,GK,89,48,54,0,0,0,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
431,Juan Quintero,COL,MF,89,74,83,12,33,1,11,64,8,88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
431,Paul Okon Engstler,AUS,MF,89,77,87,1,100,1,6,83,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
431,El Hadji Malick Diouf,SEN,DF,89,74,83,9,33,0,7,71,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
431,Josko Gvardiol,CRO,DF,89,77,87,0,0,0,7,57,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
436,Liberato Cacace,NZL,DF,88,75,85,6,17,2,4,25,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
436,Ruben Vargas,SUI,FW,88,65,74,24,25,7,16,44,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
436,Lucas Bergvall,SWE,MF,88,80,91,2,0,2,2,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
439,Fabian Rieder,SUI,MF,87,71,82,16,0,2,10,40,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
439,Tim Payne,NZL,DF,87,72,83,9,11,1,3,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
439,Gilberto Mora,MEX,MF,87,79,91,5,20,2,5,80,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
439,Hassan Altambakti,KSA,DF,87,71,82,0,0,0,2,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
439,Mohannad Abutaha,JOR,MF,87,59,68,6,50,6,6,50,2,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
444,Hicham Boudaoui,ALG,MF,86,83,97,0,0,1,4,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
444,Ferran Torres,ESP,FW,86,63,73,6,0,2,12,50,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
446,Orkun Kokcu,TUR,MF,85,60,71,6,0,2,4,25,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
446,Junya Ito,JPN,MF,85,65,76,17,35,3,10,60,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
448,Houssem Aouar,ALG,MF,84,79,94,1,100,1,3,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
448,Michal Sadilek,CZE,MF,84,69,82,11,18,0,4,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
450,Antonio Nusa,NOR,FW,83,62,75,7,14,10,6,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
