rank,player,team,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,source_url,retrieved_date
347,Saud Abdulhamid,KSA,DF,0,0,2,0,0,2,0,0.11,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Mohammad Mohebbi,IRN,MF,0,1,2,50,2,0,1,0.24,4.15x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Ramy Bensebaini,ALG,DF,0,0,2,0,1,1,1,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Lee Hanbeom,KOR,DF,0,0,2,0,2,0,2,0.22,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Pico Lopes,CPV,DF,0,0,2,0,2,0,2,0.29,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Seol Youngwoo,KOR,DF,0,0,2,0,1,1,0,0.03,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Lee Jaesung,KOR,MF,0,1,2,0,2,0,1,0.14,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Nizar Alrashdan,JOR,MF,0,1,2,50,2,0,1,0.23,4.3x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Ao Tanaka,JPN,MF,0,0,2,0,0,2,0,0.16,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Edo Kayembe,COD,MF,0,1,2,0,0,2,0,0.1,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Daizen Maeda,JPN,MF,0,1,2,50,2,0,1,0.79,1.27x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Ali Azaizeh,JOR,FW,0,0,2,0,1,1,1,0.06,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Yukinari Sugawara,JPN,DF,0,2,2,0,1,1,0,0.09,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Marcos Senesi,ARG,DF,0,0,2,0,2,0,1,0.84,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Timothy Weah,USA,FW,0,0,2,0,1,1,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Rodrigo De Paul,ARG,MF,1,1,2,0,0,2,0,0.06,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Cesar Blackman,PAN,DF,0,1,2,0,2,0,0,0.08,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Marquinhos,BRA,DF,0,0,2,0,2,0,1,0.21,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Israel Reyes,MEX,DF,0,0,2,0,2,0,1,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Alan Minda,ECU,MF,0,0,2,0,1,1,0,0.44,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Edgar Yoel Barcenas,PAN,MF,0,0,2,0,0,2,0,0.05,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Ederson Silva,BRA,MF,0,0,2,0,1,1,0,0.34,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Igor Thiago,BRA,FW,0,1,2,0,2,0,1,0.4,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Giovanni Reyna,USA,MF,0,1,2,50,2,0,0,0.22,4.61x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Gabriel Martinelli,BRA,FW,0,1,2,50,1,1,0,0.49,2.04x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Matias Galarza,PAR,MF,1,1,2,50,0,2,0,0.07,13.75x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Juan Jose Caceres,PAR,DF,0,1,2,0,1,1,0,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,David Alaba,AUT,DF,1,0,2,0,0,2,0,0.02,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Danilo Santos,BRA,MF,0,1,2,0,2,0,1,0.19,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Douglas Santos,BRA,DF,0,0,2,0,2,0,0,0.2,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Gustavo Gomez,PAR,DF,0,0,2,0,2,0,2,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Jhon Cordoba,COL,FW,0,1,2,0,2,0,1,0.32,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Nilson Angulo,ECU,FW,0,2,2,50,0,2,0,0.04,25.98x,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Joel Ordonez,ECU,DF,0,0,2,0,2,0,1,0.26,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Edson Alvarez,MEX,DF,0,0,2,0,1,1,1,0.19,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Guillermo Varela,URU,DF,0,0,2,0,0,2,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Darwin Nunez,URU,FW,0,0,2,0,1,1,1,0.2,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Jhon Lucumi,COL,DF,0,0,2,0,2,0,2,0.11,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Santiago Gimenez,MEX,FW,0,1,2,0,2,0,0,0.34,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Cecilio Waterman,PAN,FW,0,1,2,0,2,0,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
347,Jiovany Ramos,PAN,DF,0,0,2,0,1,1,0,0.15,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jorge Sanchez,MEX,DF,1,1,1,0,1,0,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Chris Richards,USA,DF,0,0,1,0,1,0,1,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Nicolas Otamendi,ARG,DF,0,0,1,0,1,0,1,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Cristian Martinez,PAN,MF,0,0,1,0,1,0,0,0.24,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Andres Cubas,PAR,MF,0,0,1,0,0,1,0,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Miles Robinson,USA,DF,0,0,1,0,1,0,1,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Fabinho,BRA,MF,0,0,1,0,1,0,1,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jordy Caicedo,ECU,FW,0,0,1,0,1,0,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Yaimar Medina,ECU,DF,0,0,1,0,1,0,1,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Mateo Chavez,MEX,DF,0,1,1,100,1,0,0,0.49,2.04x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Johan Vasquez,MEX,DF,0,0,1,0,1,0,1,0.22,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jose Fajardo,PAN,FW,0,0,1,0,1,0,1,0.25,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Orbelin Pineda,MEX,MF,0,0,1,0,1,0,0,0.09,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Eric Davis,PAN,DF,0,0,1,0,0,1,0,0,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Josue Casimir,HAI,FW,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jose Manuel Lopez,ARG,FW,1,0,1,0,1,0,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Tomas Rodriguez,PAN,FW,0,1,1,0,0,1,0,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Obed Vargas,MEX,MF,0,1,1,0,0,1,0,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Cesar Montes,MEX,DF,0,1,1,0,1,0,1,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Giuliano Simeone,ARG,FW,0,0,1,0,1,0,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gustavo Caballero,PAR,MF,0,1,1,0,1,0,1,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Cucho Hernandez,COL,FW,1,0,1,0,1,0,1,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Nico Paz,ARG,FW,0,0,1,0,0,1,0,0.08,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Mathias Olivera,URU,DF,0,0,1,0,1,0,1,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Azarias Londono,PAN,FW,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Dominique Simon,HAI,MF,0,1,1,0,0,1,0,0.01,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gonzalo Montiel,ARG,DF,1,0,1,0,1,0,0,0.15,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Willian Pacho,ECU,DF,0,1,1,0,1,0,1,0.11,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Danilo,BRA,DF,0,0,1,0,1,0,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gabriel Avalos,PAR,FW,0,0,1,0,1,0,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Nahuel Molina,ARG,DF,0,0,1,0,0,1,0,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Giovani Lo Celso,ARG,MF,0,1,1,100,0,1,0,0.15,6.61x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Omar Alderete,PAR,DF,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Alex Zendejas,USA,FW,0,0,1,0,1,0,0,0,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jordy Alcivar,ECU,MF,0,0,1,0,1,0,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gabriel Magalhaes,BRA,DF,1,0,1,0,1,0,0,0.03,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Besfort Zeneli,SWE,MF,0,1,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Joe Bell,NZL,MF,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Lukas Provod,CZE,MF,0,0,1,0,0,1,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Mathew Leckie,AUS,FW,0,0,1,0,1,0,0,0.1,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Alexander Bernhardsson,SWE,DF,0,1,1,0,0,1,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Baris Alper Yilmaz,TUR,FW,1,0,1,100,0,1,0,0.06,16.87x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Aziz Behich,AUS,DF,0,1,1,0,1,0,0,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Liberato Cacace,NZL,DF,0,1,1,0,1,0,0,0.02,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ken Sema,SWE,MF,0,0,1,0,1,0,0,0.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Manuel Akanji,SUI,DF,0,1,1,0,1,0,0,0.18,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Awer Mabil,AUS,FW,0,0,1,0,0,1,0,0.03,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gavi,ESP,MF,0,0,1,0,1,0,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jacob Italiano,AUS,DF,0,0,1,0,0,1,0,0.03,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Lyndon Dykes,SCO,FW,0,0,1,0,1,0,1,0.15,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Kai Trewin,AUS,DF,0,0,1,0,0,1,0,0,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Gustaf Nilsson,SWE,FW,0,0,1,0,1,0,1,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ivan Sunjic,BIH,MF,0,1,1,0,0,1,0,0.09,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Dzenis Burnic,BIH,MF,0,0,1,0,0,1,0,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Kenny Mclean,SCO,MF,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Tomas Soucek,CZE,MF,0,0,1,0,1,0,0,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Tim Payne,NZL,DF,1,0,1,0,0,1,0,0.02,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Odiljon Xamrobekov,UZB,MF,0,0,1,0,1,0,0,0.16,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Benjamin Nygren,SWE,MF,0,0,1,0,0,1,0,0.03,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Sherzod Nasrullaev,UZB,DF,0,1,1,0,1,0,0,0.08,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ferdi Kadioglu,TUR,DF,0,0,1,0,0,1,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Daniel Svensson,SWE,DF,0,0,1,0,0,1,0,0.01,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Akmal Mozgovoy,UZB,MF,1,0,1,0,1,0,0,0.08,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Harry Souttar,AUS,DF,0,1,1,0,1,0,1,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Che Adams,SCO,FW,0,1,1,0,1,0,0,0.15,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Kaan Ayhan,TUR,MF,0,1,1,100,1,0,0,0.68,1.48x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jesper Karlstrom,SWE,MF,0,0,1,0,1,0,0,0.05,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jesse Randall,NZL,FW,0,0,1,0,0,1,0,0.01,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Tete Yengi,AUS,FW,0,1,1,0,1,0,0,0.1,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Zeki Amdouni,SUI,FW,0,0,1,0,0,1,0,0,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Azizjon Ganiev,UZB,MF,0,0,1,0,0,1,0,0.01,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Zeki Celik,TUR,DF,0,1,1,0,1,0,0,0.1,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Vladimir Coufal,CZE,DF,1,0,1,0,1,0,1,0.02,0x,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Elliot Stroud,SWE,DF,0,0,1,0,1,0,0,0.09,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Vladimir Darida,CZE,MF,0,0,1,0,1,0,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jaroslav Zeleny,CZE,DF,0,0,1,0,1,0,1,0.02,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Noah Okafor,SUI,FW,0,0,1,0,1,0,0,0.18,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ricardo Rodriguez,SUI,DF,1,0,1,0,0,1,0,0.02,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Azizbek Amonov,UZB,FW,0,0,1,0,0,1,0,0.01,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Chadi Riad,MAR,DF,1,0,1,0,1,0,1,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Jonathan Osorio,CAN,MF,0,0,1,0,1,0,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ramy Rabia,EGY,DF,0,1,1,0,1,0,1,0.1,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Ibrahim Sangare,CIV,MF,1,0,1,0,0,1,0,0,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Moise Bombito,CAN,DF,0,1,1,0,1,0,1,0.2,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Dailon Livramento,CPV,FW,0,0,1,0,0,1,0,0,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
465,Bara Sapoko Ndiaye,SEN,MF,0,1,1,0,0,1,0,0.04,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
