group,eligible_n,n,seed,mean,median,standard_deviation,minimum,maximum,q1,q3,skewness,iqr_outliers,ci_95_lower,ci_95_upper
Midfielders,57,30,2026,9.737908438045041,9.725113840619061,0.5130764570352708,8.681269565217391,10.88976681818182,9.402964405712531,10.020372992424688,0.1259516735393585,0,9.546322540361967,9.929494335728116
Forwards,91,30,2027,9.216739978153718,9.241788277286641,0.6077680121117366,7.809351495448635,10.471603162055336,8.908257610294118,9.622803198529411,-0.3912410032362649,1,8.989795672705926,9.443684283601511
