position,count,mean,median,std,min,max
FW,49,11.184136841702008,10.679611650485437,7.145553714254179,1.4492753623188406,37.5
MF,71,17.784226723758316,15.517241379310345,8.534330140209434,5.333333333333333,40.74074074074074
