group,n,mean,median,standard_deviation,minimum,maximum,ci_95_lower,ci_95_upper
Midfielder,40,4.484539161389007,4.027833400080096,2.2245347816893997,0.9473684210526316,10.451612903225806,3.773098423451162,5.195979899326852
Forward,40,4.202167832761862,3.4830521166134183,2.0962742680263116,1.2328767123287672,9.204545454545457,3.53174679711856,4.872588868405165
