group,n,mean,median,standard_deviation,minimum,maximum,ci_95_lower,ci_95_upper
Midfielder,30,9.850688286296299,9.873924009276138,0.44318366923715574,9.00790989304813,10.88976681818182,9.685200784492173,10.016175788100425
Forward,30,9.366748235488,9.42481797195342,0.6846836491005936,7.809351495448635,10.577137969401948,9.111083159175909,9.622413311800091
