group,eligible_n,n,seed,mean,median,standard_deviation,minimum,maximum,q1,q3,skewness,iqr_outliers,ci_95_lower,ci_95_upper
Midfielders,71,40,2026,17.08345818686612,14.835164835164836,8.779699731542323,5.333333333333333,40.74074074074074,11.25,21.91659272404614,0.9525310234511346,2,14.27557399135018,19.891342382382064
Forwards,49,40,2027,11.198713928309193,10.588424609773107,7.742175587345863,1.4492753623188406,37.5,5.631226650062266,14.32682246250436,1.62519878612118,2,8.722646051805755,13.67478180481263
