position,count,mean,median,std,min,max
FW,91,9.271559065438556,9.277426934097422,0.6502790195956243,7.809351495448635,10.722488764044945
MF,57,9.785339713084383,9.804050170648464,0.48853657732029204,8.575345588235294,10.88976681818182
